airline_id,flight_id,route_name,flight_number,origin,destination,reroute_cost_usd,duration_hours,polar_hours,route_exposure
TPA,TPA101,JFK-HEL,TPA101,JFK,HEL,28000,8.5,4.2,
TPA,TPA102,HEL-JFK,TPA102,HEL,JFK,28000,9.0,4.5,
TPA,TPA201,ORD-CPH,TPA201,ORD,CPH,32000,8.0,5.5,
TPA,TPA202,CPH-ORD,TPA202,CPH,ORD,32000,8.5,5.8,
TPA,TPA301,SEA-OSL,TPA301,SEA,OSL,35000,9.0,6.0,
TPA,TPA302,OSL-SEA,TPA302,OSL,SEA,35000,9.5,6.2,
TPA,TPA401,SFO-HEL,TPA401,SFO,HEL,42000,10.5,7.5,
TPA,TPA402,HEL-SFO,TPA402,HEL,SFO,42000,11.0,7.8,
TPA,TPA501,LHR-HND,TPA501,LHR,HND,55000,12.0,8.5,
TPA,TPA502,HND-LHR,TPA502,HND,LHR,55000,12.5,9.0,
TPA,TPA601,YVR-KEF,TPA601,YVR,KEF,18000,6.5,3.5,
TPA,TPA602,KEF-YVR,TPA602,KEF,YVR,18000,7.0,3.8,
