flight_id,airline,date,flight_no,origin,destination,aircraft_type,tech_type,tech_score,cost_multiplier,max_latitude,departure_time,duration_hours,base_cost,route_classification
FLIGHT-20260115-001,SkyNorth,2026-01-15,SK901,KJFK,EFHK,A350,LEO,0.05,1.2,82.5,08:00,8.5,6300,polar
FLIGHT-20260115-002,SkyNorth,2026-01-15,SK902,EGLL,ESSA,A350,LEO,0.05,1.2,81.0,09:30,9.0,6300,polar
FLIGHT-20260115-003,SkyNorth,2026-01-15,SK903,EDDF,ENGM,A350,GEO,0.4,1.2,78.5,10:45,7.5,6300,sub-polar
FLIGHT-20260115-004,SkyNorth,2026-01-15,SK904,LFPG,EKCH,A350,LEO,0.05,1.2,76.0,12:00,6.5,6300,sub-polar
FLIGHT-20260115-005,SkyNorth,2026-01-15,SK905,EHAM,BIRK,B787,GEO,0.4,1.2,74.5,14:30,6.0,6300,sub-polar
FLIGHT-20260115-006,FinPolar,2026-01-15,AY601,EFHK,PANC,A350,LEO,0.05,0.9,85.0,06:00,9.5,6300,polar
FLIGHT-20260115-007,FinPolar,2026-01-15,AY602,ESSA,CYVR,A350,GEO,0.4,0.9,84.0,07:30,10.0,6300,polar
FLIGHT-20260115-008,FinPolar,2026-01-15,AY603,EKCH,KSEA,B787,LEO,0.05,0.9,82.5,09:00,9.0,6300,polar
FLIGHT-20260115-009,FinPolar,2026-01-15,AY604,ENGM,KJFK,B787,GEO,0.4,0.9,81.5,10:30,8.5,6300,polar
FLIGHT-20260115-010,FinPolar,2026-01-15,AY605,EGLL,PANC,A330,HF,0.95,0.9,80.5,12:00,8.0,6300,polar
FLIGHT-20260115-011,FinPolar,2026-01-15,AY606,KJFK,EFHK,B777,GEO,0.4,0.9,79.0,13:30,8.5,6300,sub-polar
FLIGHT-20260115-012,FinPolar,2026-01-15,AY607,CYVR,RJAA,B777,LEO,0.05,0.9,77.5,15:00,11.0,6300,sub-polar
FLIGHT-20260115-013,FinPolar,2026-01-15,AY608,KSEA,RJAA,A350,LEO,0.05,0.9,76.0,16:30,10.5,6300,sub-polar
FLIGHT-20260115-014,IcelandAir,2026-01-15,FI201,BIKF,CYYZ,B757,HF,0.95,1.0,72.0,08:30,5.5,6300,sub-polar
FLIGHT-20260115-015,IcelandAir,2026-01-15,FI202,BIRK,EGLL,B757,HF,0.95,1.0,71.5,10:00,5.0,6300,sub-polar
FLIGHT-20260115-016,IcelandAir,2026-01-15,FI203,BIKF,PANC,B757,GEO,0.4,1.0,88.5,11:30,7.0,6300,polar
FLIGHT-20260115-017,IcelandAir,2026-01-15,FI204,EGLL,BIKF,B767,GEO,0.4,1.0,87.0,13:00,6.5,6300,polar
FLIGHT-20260115-018,IcelandAir,2026-01-15,FI205,KJFK,BIRK,B757,HF,0.95,1.0,85.5,14:30,6.0,6300,polar
FLIGHT-20260115-019,IcelandAir,2026-01-15,FI206,CYYZ,BIKF,B767,GEO,0.4,1.0,84.0,16:00,6.5,6300,polar
FLIGHT-20260115-020,IcelandAir,2026-01-15,FI207,KSFO,BIKF,B787,LEO,0.05,1.0,82.5,17:30,7.0,6300,polar
